tweet_id,text,TRU,DIS,JOY,SAD,ANT,SUR,ANG,FEA,NEUTRAL,conf_tru_dis,conf_joy_sad,conf_ant_sur,conf_ang_fea,num_annot
453279716787912704l,"@FIBONACCISEMPRE E agora to indo pra casa , logo mais a noite vou ver as Ondas de Elliot do #ibovespa e da #PETR4 .",0,0,-2,-2,0,1,0,0,-1,0.667,0.333,0.667,1.000,3
446987129781243904l,$RENT3 - Localiza (rent-nm) - Demonstracoes Financeiras De 31/12/2013 (individual) http://t.co/CIl9uDCcBK,0,0,0,0,0,0,0,0,1,0.750,0.750,0.500,0.750,4
448147176351629312l,Ativo c/ vol Financeiro Superior à sua MM21-14h: ALPA4 ARZZ3 CESP6 EZTC3 LOGN3 PFRM3 SLED4,1,0,-2,-2,0,0,0,0,-1,0.667,0.000,0.667,0.667,3
459413003994423296l,"Rastreamento ações-Gráfico diário-16h. Analise se romper: BBRK3 5,14 CPLE6 32,76 CYRE3 13,71 GOLL4 12,72 IGTA3 22,13 ITSA4 9,89 PCAR4 106,63",0,0,0,0,1,0,0,0,0,0.667,1.000,0.667,0.667,3
446746720337416193l,"A #PETR4 cumpre o papel dela, ou seja, a empresa é um retrato perfeito do governo. Ineficiente, inflada e corrupta é quase um clone do gov.",0,1,0,1,0,0,1,0,0,1.000,0.667,0.667,1.000,3
468163177260523520l,Coisas extraordinarias só acontecem a pessoas extraordinarias  -Ripchip,0,0,0,1,0,0,0,0,0,1.000,0.667,1.000,1.000,3
461200024635183104l,@CaciqueInvest Goll4 deu tempo de sobra pra pegar rsrsr,1,0,1,0,0,0,0,0,0,0.667,0.667,1.000,1.000,3
442743632333123584l,@victoriabril_ forra contesta,-2,-2,0,0,-2,-2,0,0,-1,0.333,0.667,0.333,0.667,3
459316647241605121l,Preço de aluguel de OIBR4 a 120% ao ano. Vale mais a pena alugar suas ações da Oi do que o seu apê.,-2,-2,0,0,-2,-2,-2,-2,-1,0.333,0.667,0.333,0.333,3
455723336879075328l,"Notas gerais

A PETROBRAS (PETR4) assinou com o Grupo Électricité de France contrato para a venda de sua... http://t.co/h3dMUjViMQ",0,0,0,0,0,1,0,0,0,0.667,0.667,0.667,1.000,3
449256807417257985l,"RT @ricocomvc: #Intraday Maiores altas do #Ibov: ELET3 +10,0% LLXL3 +8,7% RSID3 +7,2% PETR3 +7,2% BBAS3 +6,9% PETR4 +6,9%",-2,-2,-2,-2,0,0,-2,-2,-1,0.333,0.333,0.667,0.333,3
451691747266297856l,China anunciou um plano de incentivo à economia. O governo chinês pretende aumentar os investimentos em ferrovias e moradias. Bom p/ #VALE5.,1,0,1,0,1,0,0,0,0,1.000,1.000,0.667,1.000,3
468732911655845888l,"Ações ex-dividendos hoje: BBAS3, BVMF3 e ETER3. As cotações históricas foram ajustadas. Saiba mais! http://t.co/C7k4DuDID2",-2,-2,0,0,-2,-2,-1,-1,-1,0.333,0.667,0.333,0.667,3
463775892947611648l,"#PCAR4 GRANDE INVESTIDOR PODE TER REDUZIDO POSIÇÃO
ITAU hoje fez uma desova de quase 297 milhões de reais ao preço médio de 104,06.",-1,-1,-1,-1,-1,-1,-1,-1,-1,0.667,0.667,0.667,0.667,3
461148734173483008l,"Conforme esperado ações de estatais sobem qdo Dilma cai nas pesquisas: BBAS3+3,07%, PETR3,+2,30%, PETR4,+2,29%, ELET3,+3,11% e ELET6,+3,18%",-2,-2,-2,-2,-2,-2,-2,-2,-1,0.000,0.000,0.000,0.000,3
446988104323567616l,RT @dmaintenance: $PETR4 - Bolsa promete volatilidade para hoje. Entenda [Newsletter ADVFN] http://t.co/X4HavGBp9S,0,0,0,0,-2,-2,0,0,-1,0.667,0.667,0.000,0.667,3
469545567157485569l,A última indicação da #MRFG3 resultou em -1.26 %. Confira a nova indicação agora em http://t.co/kgt1YiTbF7,0,0,0,0,0,1,0,0,0,1.000,0.667,0.667,0.667,3
469935696380436481l,"23/05/14-17:20: Maiores Baixas: RSID3 -2,38% R$1,64, CPFE3 -1,86% R$17,96, BBDC4 -1,77% R$32,77, ITUB4 -1,76% R$35,70, BBAS3 -1,76% R$22,39.",-2,-2,-2,-2,-2,-2,-2,-2,-1,0.333,0.333,0.333,0.333,3
445556435427287040l,$BRFS3 - Brf Sa (brfs-nm) - Material A Disposicao (pedido Publico De Procuracao) http://t.co/0vmBXdZc0u,-2,-2,0,0,-2,-2,0,0,-1,0.333,0.667,0.333,0.667,3
449169844643319808l,"STF adiou o julgamento do caso dos bancos. Problema não resolvido, apenas postergado. Enquanto não resolver, não entro em ITUB4 nem BBAS3.",0,1,0,0,0,0,0,0,0,0.667,0.667,0.667,0.667,3
449190258312507393l,"#cmig4 foguetão, postado ontem!!!!",-2,-2,-2,-2,0,0,0,0,-1,0.333,0.333,0.667,0.667,3
472000340133699584l,"De fato, a alta de ontem no after market sinalizou uma pequena melhora em VALE5 hoje, ao menos na abertura.",0,0,0,0,0,1,0,0,0,0.667,1.000,0.667,1.000,3
456481054434787328l,Ativo c/ vol Financeiro Superior à sua MM21-14h: BBPO11 CPFE3 DTEX3 JSLG3 SMLE3,-2,-2,-2,-2,-2,-2,0,0,-1,0.333,0.333,0.333,0.667,3
448437735054139393l,$CIEL3 - Cielo (ciel-nm) - Pgto. Dividendo E Juros (alteracao Dos Valores Por Acao) http://t.co/pNIoX1dKA3,-2,-2,0,0,1,0,-2,-2,-1,0.000,0.667,0.667,0.000,3
441215300357586944l,$PETR3 - Petrobras (petr)- Candidatos Ind. Pelos Acionistas Nao Controladores P. Ca E Cf http://t.co/3ikzgdwt6j,0,0,0,0,0,0,0,0,1,0.667,0.667,0.667,0.667,3
447013640026480640l,"RT @ppaulovagner: @garimpodeacoes #CSNA3 
ILG = 0,23
ILC = 0,78
ILS = 0,40
Se achar alguma coisa boa lá, vende!",0,0,-2,-2,1,0,0,0,-1,0.667,0.333,0.667,0.667,3
449325373382463488l,"@DENISSITO @FernandoCesar77 @BlogdoNoblat Ações PETR3 e 4 valorizaram 12% no mês, desde início perseguição tucana. Brigaduu @rede_globo",1,0,1,0,0,1,0,0,0,0.667,0.667,0.667,1.000,3
445981947366744065l,treze pila na cabeça ! #PETR4,-2,-2,-2,-2,-2,-2,0,0,-1,0.000,0.333,0.000,0.667,3
451057586591506432l,Kroton ON (#KROT3) é a ação que mais se valorizou no 1º trimestre. http://t.co/1uSfwwIMW0,0,0,0,0,0,0,0,0,1,0.667,0.667,0.667,1.000,3
455856354897694720l,"RT @SoNaquelaa: Já estou é a criar demasiadas expectativas, tenho que parar, senão vai correr mal outra vez",1,0,1,0,1,0,0,1,0,0.667,0.667,0.667,1.000,3
456140272339279872l,"No momento PETR4 respeita o suporte de R$15,42.",0,0,0,0,0,0,0,0,1,0.667,0.667,0.667,0.667,3
456846119000342528l,"Rastreamento ações-Gráfico diário-14h. Analise se romper:BEEF3 10,52 BRAP4 21,55 CESP6 27,77 ELPL4 9,18 ENBR3 10,59  IGTA3 22,08 LIGT3 19,05",0,0,0,0,0,0,0,0,1,0.667,0.667,0.667,0.667,3
446002116600299520l,"Rastreamento ações-Gráfico diário-15h. Analise se romper:  ALSC3 17,79 BRFS3 44,54 BRML3 18,30 BVMF3 10,43 CCRO3 16,70 ESTC3 22,31",0,0,-1,-1,-2,-2,-1,-1,-1,0.667,0.667,0.333,0.667,3
455777023689256961l,A última indicação da #ITUB4 resultou em 0.14 %. Confira a nova indicação agora em http://t.co/kgt1YiTbF7,0,0,0,0,0,0,0,0,1,0.667,0.667,0.667,0.667,3
460788178345926657l,Resultado corporativo da #TRACTEBEL (TBLE3). Confira a nossa visão sobre os dados divulgados pela empresa. http://t.co/wifhNsopqt,0,0,0,0,0,0,0,0,1,1.000,1.000,0.667,1.000,3
441553962857025537l,"Petrobras surpreende: Novo recorde no pré-sal

A PETROBRAS (PETR4) informou ontem à noite, após o fechamento do... http://t.co/tOdUdKD8dF",0,0,0,0,0,1,0,0,0,0.667,0.667,0.667,1.000,3
449372506143866880l,@KatiaAbreu como assim CPI prejudicará #PETR4? imagino q Sra entenda a corrente gravidade e saiba oq seja CPI. @agenciapf @MPF_PGR ctz fará,0,1,0,0,1,0,-2,-2,-1,0.667,0.667,0.667,0.000,3
446002296842108928l,"Rastreamento ações-Gráfico diário-16h. Analise se romper: MULT3 46,57 RADL3 16,82  SMLE3 38,79 SULA11 14,95 TAEE11 19,13 VIVT4 44,71",-2,-2,0,0,-1,-1,-2,-2,-1,0.333,0.667,0.667,0.333,3
449658348586414080l,RT @stanleyburburin: Uma das corretoras q mais compraram a ação PETR4 da Petrobras:'Dados recebidos em: 28/03/2014 17:03: Goldman Sachs'- h…,-2,-2,-2,-2,-2,-2,-2,-2,-1,0.333,0.333,0.333,0.333,3
456059375103537153l,A última indicação da #GFSA3 resultou em 13.84 %. Confira a nova indicação agora em http://t.co/kgt1YiTbF7,0,0,0,0,1,0,0,0,0,0.667,0.667,0.667,1.000,3
443516696876576770l,que linda era esa mina chabonnn,0,0,0,0,0,0,0,0,1,1.000,0.667,1.000,1.000,3
468833224442273792l,Ativo c/ vol Financeiro Superior à sua MM21-16h: ALPA4 ALUP11 BBAS3 BBDC3 BEEF3 BRFS3 BRPR3 CCRO3 CMIG3 CPFE3 EMBR3 EQTL3 ESTC3 GGBR4 GUAR3,-2,-2,0,0,-1,-1,0,0,-1,0.333,0.667,0.667,0.667,3
444557092226342912l,Ativo c/ vol Financeiro Superior à sua MM21-16h: LREN3 MGLU3 MILS3 MRVE3 PINE4 SLCE3 SUZB5 USIM3 USIM5,0,0,0,0,0,0,0,0,1,1.000,1.000,1.000,1.000,3
448543126202757120l,"Veja as melhores ações para comprar nesta semana, de acordo com 8 corretoras: Os papéis da Gerdau (GGBR4) e da... http://t.co/SK7rRvdHEZ",-2,-2,0,0,1,0,0,0,-1,0.000,1.000,0.667,0.667,3
443178803557580800l,"Ano passado eu falei que até o final de 2104 #PETR4 estaria abaixo de R$10,00 mas acho que errei, não vai demorar tanto.",0,1,0,0,0,0,-2,-2,-1,1.000,0.667,0.667,0.000,3
445604215084564480l,"Depois de módico repique, Vale5 vai caindo na Bovespa, neste momento.",0,1,0,1,0,0,-2,-2,-1,0.667,0.667,0.667,0.000,3
447493169601855488l,"Análise semanal - IBOV, PETR4, VALE5, GGBR4, CSNA3, MDIA3, MPLU3, TIMP3 e ESTC3. Assista! http://t.co/1aIKqskUg9",-2,-2,0,0,-2,-2,0,0,-1,0.333,0.667,0.333,0.667,3
453994043845140481l,"Encerramos Hering (HGTX3) com 4,99% de prejuízo. O Ibov continua correção porém a carteira do MB-EOD-1 está... http://t.co/tZEYyHGVe2",0,1,0,1,0,0,0,0,0,1.000,0.667,0.667,0.667,3
446358680796413953l,LLXL3 comprar a R$ 0.88 indicado em 19/03/2014 15:43 e finalizou a venda com resultado de R$ 0.12 ou 13.64 % http://t.co/kgt1YiTbF7,-2,-2,-2,-2,0,0,-2,-2,-1,0.333,0.333,0.667,0.333,3
453660270121193472l,"A LIGHT S.A. fechou o dia de hoje, ao preço de R$ 18,27 (-1,93%) com volume de R$ 22,94 mm.
$LIGT3",0,0,0,0,0,1,0,0,0,0.667,1.000,0.667,1.000,3
444478900065017856l,"@ppaulovagner  11h22 = Ações USIMINAS... Usim3 +1,76% e Usim5 +3,61%...",0,0,-1,-1,-2,-2,-2,-2,-1,0.667,0.667,0.333,0.333,3
458591709140512769l,Conheça as empresas que mais pagam dividendos no Ibovespa: O Santander (SANB11) é a empresa com o maior dividend... http://t.co/ixCZN72EkR,0,0,0,0,0,1,0,0,0,0.667,1.000,0.667,1.000,3
456065660704260096l,"RT @garimpodeacoes: 10h42 = IBOVESPA perde 0,92%...
Vilã do dia: VALE3, -2,75% e VALE5, -1,71%, de olho na China...",-2,-2,0,1,0,1,1,0,-1,0.000,1.000,0.667,0.667,3
472016992686583810l,#IBOV #VALE5 Minério de ferro na China recua à mínima de 20 meses: http://t.co/SfiSqGtvoz,0,1,0,1,0,0,0,1,0,0.667,0.667,0.667,0.667,3
451440468887625728l,@Andresmoraes isso sem contar os 30% da #PETR4 ... o.O,0,1,0,1,0,1,0,1,0,0.667,0.667,1.000,0.667,3
447000185927766016l,"TEMPO REAL: Petrobras, Eletrobras e BB despencam, Vale sobe mais de 1%: Acompanhe aqui a atu... http://t.co/ZYP5EXzvBH #infomoney #vale5",0,0,0,0,0,0,0,0,1,0.500,0.750,1.000,0.750,4
461192942708097025l,"Rastreamento ações-Gráfico diário-14h. Analise se romper:  LREN3 64,70  PETR3 16,21 PETR4 17,14 VIVT4 46,75 WEGE3 26,92",0,0,0,0,-1,-1,0,0,-1,0.667,0.667,0.667,0.667,3
460127501138681856l,"Haverá uma luz no final deste túnel? #ELPL4, gráfico mensal em http://t.co/K9qcsmouvf http://t.co/JgEMVMKYsS",0,1,-2,-2,0,0,0,1,-1,0.667,0.333,0.667,0.667,3
449597804189847552l,RT @chrinvestor: Teria curiosidade de saber o que a Dilma achou de a #PETR4 subir mais de 7% com a perspectiva  de que ela pode perder a el…,0,1,-2,-2,0,0,1,0,-1,0.667,0.000,0.667,0.667,3
459320788777443329l,PETR4 com vol. financeiro cerca de 9 vezes a VALE5. Explode ?,-1,-1,0,0,-2,-2,0,1,-1,0.667,0.667,0.333,0.667,3
453838159911329792l,@ferrisss @valor_economico @exame_mercados Análise fundamentos do Grupo Pão de Açúcar #GPA #CBD #PCAR3 #PCAR4 12/2013 http://t.co/GYFJfNZm5O,-1,-1,-1,-1,-2,-2,0,0,-1,0.667,0.667,0.333,0.667,3
448447631103381504l,#petr4 por que será que a notícia ruim sempre vem em um objetivo?  kkkk,-2,-2,0,0,-2,-2,0,0,-1,0.333,0.667,0.333,0.667,3
445900371408728064l,$PETR4 - Petrobras: Produção é prioridade no momento [Newsletter ADVFN] http://t.co/GSFIVOj2pd,0,0,0,0,0,0,0,0,1,0.667,0.667,1.000,0.667,3
442007598456668160l,#DEAL ! #VALE5 NEXT VINTE E SETE E DEZ ... http://t.co/B3mGCukpm0,0,0,-2,-2,0,0,0,0,-1,0.667,0.333,0.667,0.667,3
459313608053100545l,#Noticia Usiminas sai de prejuízo e lucra R$ 222 milhões no 1º trimestre:   A Usiminas (USIM5) teve lucro líq... http://t.co/WLq0rLGR40,1,0,-2,-2,-2,-2,0,0,-1,0.667,0.333,0.333,0.667,3
443403473875644416l,"Rastreamento ações-Gráfico diário-12h. Analise se romper: ALLL3 7,03 CCRO3 16,43 ECOR3 13,03 ESTC3 22,11 GFSA3 3,29 ICON 2242,21",-2,-2,0,0,1,0,0,0,-1,0.333,0.667,0.667,0.667,3
451073516524552192l,EU NÃO MEREÇO #Petr4 #Petr3 #CPIdaPetrobras http://t.co/0Lj5to6AWP,0,1,0,1,0,0,0,0,0,0.667,0.667,0.667,0.667,3
448099233779154945l,Operação comentada na sexta sobre ITUB4 x BBDC4 caminhando na direção esperada!,1,0,1,0,1,0,0,0,0,0.667,1.000,0.667,1.000,3
446040497023635456l,"@Live_Trade tudo isso mais os que ja vinham de continuidade cm artr3, bvmf3 e imch3",-2,-2,-2,-2,0,0,0,0,-1,0.333,0.333,0.667,0.667,3
451149200290746369l,"@SakaSakamori @edmilsonpapo10
Restrições: Eleição, CPI #PETR4
* mais alguma que vcs tenham em mente?",0,1,0,1,0,0,-2,-2,-1,0.667,0.667,0.667,0.000,3
