Tweet_ID,Post_Vaccine,Positions_Vac
dante_02_1337417561365939968,1,3.0
dante_02_1340679011098370048,1,3.0
dante_02_1263126584380270080,0,
dante_02_1270719373133519872,0,
dante_02_1280241158766109952,1,1.0
dante_02_1288220096020849920,1,1.0
dante_02_1288219950616800000,1,2.0
dante_02_1297547879230429952,1,1.0
dante_02_1298727654988879872,0,
dante_02_1299727269267630080,0,
dante_02_1335972127183429888,1,1.0
dante_02_1336433770904349952,1,1.0
dante_02_1338146476392930048,1,1.0
dante_02_1241437708356130048,0,
dante_02_1242614077085619968,0,
dante_02_1321309913784760064,1,3.0
dante_02_1341279638027440128,1,2.0
dante_02_1334911371000079872,1,1.0
dante_02_1306609801233910016,0,
dante_02_1319071424984809984,1,1.0
dante_02_1319027505349720064,1,1.0
dante_02_1319027484021710080,1,1.0
dante_02_1319431497766619904,1,1.0
dante_02_1326661929788699904,1,1.0
dante_02_1326950174158159872,1,1.0
dante_02_1293314973523899904,1,1.0
dante_02_1276561812075440128,0,
dante_02_1277368111050759936,0,
dante_02_1278036894140499968,0,
dante_02_1314682917147360000,1,2.0
dante_02_1318335062950159872,1,3.0
dante_02_1318619337800989952,1,3.0
dante_02_1318609211455109888,1,3.0
dante_02_1318914909963480064,1,3.0
dante_02_1318879992617570048,1,3.0
dante_02_1334095728990409984,1,1.0
dante_02_1335707438830540032,1,3.0
dante_02_1335707327752780032,1,3.0
dante_02_1335706930027899904,1,2.0
dante_02_1335706559029120000,1,2.0
dante_02_1336379090111229952,1,1.0
dante_02_1336857265920499968,1,1.0
dante_02_1336853381839790080,1,1.0
dante_02_1338086837257189888,1,1.0
dante_02_1338086471174129920,1,1.0
dante_02_1342797323479500032,1,2.0
dante_02_1295763989809560064,1,1.0
dante_02_1303468953071689984,1,2.0
dante_02_1316384781274409984,1,1.0
dante_02_1320712246507539968,1,1.0
dante_02_1336657776626510080,1,1.0
dante_02_1337134694081700096,1,1.0
dante_02_1337452677492509952,1,1.0
dante_02_1337872601578860032,1,1.0
dante_02_1338964973826030080,1,1.0
dante_02_1339324905301669888,1,1.0
dante_02_1339876446018429952,1,1.0
dante_02_1319804175329479936,1,1.0
dante_02_1337003132614789888,1,1.0
dante_02_1339578113202609920,1,1.0
dante_02_1326569792099249920,1,1.0
dante_02_1326567147368219904,1,1.0
dante_02_1339238327996829952,1,2.0
dante_02_1339231886988740096,1,1.0
dante_02_1341081531293570048,1,1.0
dante_02_1311111997732400128,1,3.0
dante_02_1336697773094269952,1,1.0
dante_02_1242298749717619968,0,
dante_02_1285294906106419968,1,1.0
dante_02_1331968553805860096,1,1.0
dante_02_1319290720377710080,1,1.0
dante_02_1319290716372120064,1,1.0
dante_02_1331818929057110016,1,1.0
dante_02_1343585231945809920,1,2.0
dante_02_1329526035575089920,1,1.0
dante_02_1329474523360580096,1,1.0
dante_02_1330866755737179904,1,1.0
dante_02_1337401696222400000,1,1.0
dante_02_1337400986349029888,1,1.0
dante_02_1337897707764140032,1,1.0
dante_02_1340054173132440064,1,1.0
dante_02_1313525206913289984,0,
dante_02_1240802245966510080,1,1.0
dante_02_1242823454795140096,1,2.0
dante_02_1286070044074569984,1,2.0
dante_02_1301885082957939968,1,1.0
dante_02_1316569913885110016,1,1.0
dante_02_1318987925586119936,1,1.0
dante_02_1326264755749789952,1,1.0
dante_02_1334637181000940032,1,1.0
dante_02_1339884961013380096,1,1.0
dante_02_1341148787717390080,1,1.0
dante_02_1240979985768250112,0,
dante_02_1240976848538030080,0,
dante_02_1310625488671510016,1,1.0
dante_02_1283191109800399872,1,1.0
dante_02_1301876303092730112,1,1.0
dante_02_1218606587566259968,0,
dante_02_1223306696061250048,0,
dante_02_1226498537548059904,0,
dante_02_1230182585743150080,0,
dante_02_1241023626977159936,0,
dante_02_1241504310594330112,1,1.0
dante_02_1242073167948049920,0,
dante_02_1242834412762510080,1,1.0
dante_02_1244713553959010048,1,1.0
dante_02_1248350316673850112,0,
dante_02_1248348881458530048,0,
dante_02_1250521850104499968,1,1.0
dante_02_1251556184131279872,1,1.0
dante_02_1253051886468499968,0,
dante_02_1255934716009730048,0,
dante_02_1255925795878350080,1,1.0
dante_02_1259581731985920000,1,1.0
dante_02_1259541445645649920,1,1.0
dante_02_1259924653130210048,1,1.0
dante_02_1259836298661179904,1,1.0
dante_02_1262429896808300032,0,
dante_02_1262405125722830080,1,1.0
dante_02_1264264867931879936,1,1.0
dante_02_1265709741692649984,1,1.0
dante_02_1268199990796659968,1,1.0
dante_02_1268992220117499904,1,1.0
dante_02_1268992218808880128,1,1.0
dante_02_1268974316647040000,1,1.0
dante_02_1268916399629570048,1,1.0
dante_02_1270812271011379968,1,1.0
dante_02_1271241826247350016,1,1.0
dante_02_1271143281850830080,1,1.0
dante_02_1271142653736989952,0,
dante_02_1271142471515409920,1,1.0
dante_02_1271125049743940096,1,1.0
dante_02_1271097650134340096,1,1.0
dante_02_1271583216059780096,1,1.0
dante_02_1271413690693149952,1,1.0
dante_02_1272544911858990080,1,1.0
dante_02_1273027577800790016,0,
dante_02_1272999389355589888,0,
dante_02_1272953992029580032,0,
dante_02_1273320414001969920,0,
dante_02_1274715555086429952,1,1.0
dante_02_1275553655391990016,1,1.0
dante_02_1275537990325019904,0,
dante_02_1276884636052979968,1,1.0
dante_02_1277603650827960064,0,
dante_02_1277966810894099968,1,1.0
dante_02_1278513832185520128,1,1.0
dante_02_1279144207253479936,0,
dante_02_1284856242679219968,1,1.0
dante_02_1286788401077910016,1,1.0
dante_02_1287815724589819904,1,1.0
dante_02_1287815722429740032,1,1.0
dante_02_1288111598830099968,1,2.0
dante_02_1288111596653349888,1,2.0
dante_02_1288464337896709888,1,1.0
dante_02_1290393374524960000,1,1.0
dante_02_1290667227621050112,1,1.0
dante_02_1293220008483520000,1,3.0
dante_02_1293219578617690112,1,1.0
dante_02_1296083463200800000,1,1.0
dante_02_1335311080646720000,1,1.0
dante_02_1336287681387630080,1,1.0
dante_02_1336688976737029888,1,1.0
dante_02_1337944832170469888,1,3.0
dante_02_1339334255390970112,1,1.0
dante_02_1339231301329669888,1,1.0
dante_02_1339571175480019968,1,1.0
dante_02_1340064666077289984,1,2.0
dante_02_1272503316614980096,1,1.0
dante_02_1318940315940750080,1,1.0
dante_02_1338894651143689984,1,1.0
dante_02_1241450895684120064,0,
dante_02_1242150685203919872,0,
dante_02_1242095508652519936,1,3.0
dante_02_1291057035426109952,1,1.0
dante_02_1301613110084600064,1,1.0
dante_02_1312210406610330112,0,
dante_02_1326567551493690112,1,1.0
dante_02_1326567550147239936,1,1.0
dante_02_1333052045427960064,1,2.0
dante_02_1336475739793860096,1,3.0
dante_02_1336472947029050112,1,1.0
dante_02_1336752010809530112,1,1.0
dante_02_1336739733448369920,1,1.0
dante_02_1337167713698010112,1,1.0
dante_02_1337837324730850048,1,1.0
dante_02_1337755842737740032,1,3.0
dante_02_1338280121996890112,1,1.0
dante_02_1341026586624199936,1,1.0
dante_02_1341430172592059904,1,1.0
dante_02_1341376513221009920,1,1.0
dante_02_1343537799547529984,1,1.0
dante_02_1343999628434400000,1,1.0
dante_02_1344750903480499968,1,1.0
dante_02_1244662967343419904,1,2.0
dante_02_1258039652533120000,1,1.0
dante_02_1301874501953649920,1,3.0
dante_02_1317941383739699968,1,2.0
dante_02_1317934785931749888,1,2.0
dante_02_1317797198772349952,1,3.0
dante_02_1317789656159739904,1,3.0
dante_02_1318155588409440000,1,3.0
dante_02_1318027789015099904,1,3.0
dante_02_1318674553875450112,1,1.0
dante_02_1318976607504280064,1,3.0
dante_02_1318963476866480128,1,3.0
dante_02_1318929082298540032,1,3.0
dante_02_1319443828479239936,1,3.0
dante_02_1319742203292410112,1,3.0
dante_02_1319622557063130112,1,3.0
dante_02_1319612464946990080,1,3.0
dante_02_1319595059046729984,1,3.0
dante_02_1319594293829469952,1,3.0
dante_02_1320922914963800064,1,3.0
dante_02_1320742852427689984,1,3.0
dante_02_1320726781272399872,1,3.0
dante_02_1320721892970510080,1,3.0
dante_02_1320720044624689920,1,3.0
dante_02_1321116824055010048,1,3.0
dante_02_1323228002872859904,1,3.0
dante_02_1324893849194459904,1,3.0
dante_02_1325631800228640000,1,3.0
dante_02_1325974717753390080,1,3.0
dante_02_1325820063597860096,1,3.0
dante_02_1326868182955660032,1,3.0
dante_02_1327403016547389952,1,3.0
dante_02_1327247982903909888,1,3.0
dante_02_1334900457672760064,1,3.0
dante_02_1336061825033580032,1,3.0
dante_02_1336052295566560000,1,3.0
dante_02_1336432079698070016,1,3.0
dante_02_1336346891831920128,1,3.0
dante_02_1337544418447020032,1,3.0
dante_02_1337729310086589952,1,1.0
dante_02_1338119846316410112,1,1.0
dante_02_1338119530640509952,1,1.0
dante_02_1338526444645959936,1,3.0
dante_02_1338526442896940032,1,3.0
dante_02_1338515212115310080,1,3.0
dante_02_1339173684897039872,1,3.0
dante_02_1339756059918020096,1,3.0
dante_02_1339692200272270080,1,3.0
dante_02_1339637812266720000,1,3.0
dante_02_1339592804591229952,1,3.0
dante_02_1339998193367600128,1,3.0
dante_02_1339950514704940032,1,3.0
dante_02_1339947450543559936,1,3.0
dante_02_1339769346365789952,1,3.0
dante_02_1340314451715780096,1,3.0
dante_02_1340313809756529920,1,3.0
dante_02_1342921015681299968,1,3.0
dante_02_1344090501297920000,1,3.0
dante_02_1344284771975889920,1,3.0
dante_02_1319008652041370112,1,1.0
dante_02_1318985959527140096,1,1.0
dante_02_1319337709689829888,1,1.0
dante_02_1321511216196600064,0,
dante_02_1225036182209410048,0,
dante_02_1242092826713900032,0,
dante_02_1243636961811800064,0,
dante_02_1243636959916049920,0,
dante_02_1245316470046949888,0,
dante_02_1245316468406870016,0,
dante_02_1245316465684869888,0,
dante_02_1245316464518850048,0,
dante_02_1246040239275150080,0,
dante_02_1246040236922149888,0,
dante_02_1247163498376719872,0,
dante_02_1247163496044720128,0,
dante_02_1247163492349530112,0,
dante_02_1248334089033329920,0,
dante_02_1248223986384859904,0,
dante_02_1248223984459660032,0,
dante_02_1248223982442220032,0,
dante_02_1250037193810279936,0,
dante_02_1250037192375889920,0,
dante_02_1250037189993430016,0,
dante_02_1252697934208069888,0,
dante_02_1252697775336290048,0,
dante_02_1257097531336669952,0,
dante_02_1257097529839280128,0,
dante_02_1257097528291529984,0,
dante_02_1257097526009900032,0,
dante_02_1279779152674129920,0,
dante_02_1295414805881380096,1,1.0
dante_02_1309602701282589952,1,1.0
dante_02_1329084771020910080,1,1.0
dante_02_1329011801686759936,1,1.0
dante_02_1329864607989629952,0,
dante_02_1329864606337080064,0,
dante_02_1336057512672570112,1,1.0
dante_02_1336055504678899968,1,1.0
dante_02_1336055503487640064,1,1.0
dante_02_1336322081999310080,1,1.0
dante_02_1337549281864140032,1,1.0
dante_02_1339559899609629952,1,1.0
dante_02_1339559898271630080,1,1.0
dante_02_1339559896933669888,1,1.0
dante_02_1339559895385969920,1,1.0
dante_02_1340660937896940032,1,1.0
dante_02_1342139544653730048,1,1.0
dante_02_1344350271145700096,1,1.0
dante_02_1344350269958739968,1,1.0
dante_02_1344350268511620096,1,1.0
dante_02_1266407955852900096,0,
dante_02_1324305313915369984,1,3.0
dante_02_1287755168856049920,0,
dante_02_1301155984958779904,1,1.0
dante_02_1303015404420369920,0,
dante_02_1318995360660989952,1,1.0
dante_02_1321852555098520064,1,2.0
dante_02_1326213026220029952,1,1.0
dante_02_1262088334354129920,1,1.0
dante_02_1262088333116790016,1,1.0
dante_02_1334488625740979968,1,1.0
dante_02_1336115773610340096,1,1.0
dante_02_1339589716568480000,1,1.0
dante_02_1339589714890779904,1,1.0
dante_02_1339574674133560064,1,1.0
dante_02_1243185479027239936,0,
dante_02_1244967498321139968,0,
dante_02_1285225512739180032,1,1.0
dante_02_1322471053420120064,1,1.0
dante_02_1334076137597750016,1,1.0
dante_02_1336811131105570048,1,1.0
dante_02_1339606863243980032,1,1.0
dante_02_1343895484944029952,1,1.0
dante_02_1249812792007429888,0,
dante_02_1283886306729349888,1,3.0
dante_02_1286378567375419904,1,1.0
dante_02_1297966449026370048,0,
dante_02_1240317625122589952,1,2.0
dante_02_1250815141865750016,0,
dante_02_1253681101794670080,1,1.0
dante_02_1254074111598510080,1,1.0
dante_02_1262383994890569984,1,1.0
dante_02_1266461864634060032,1,1.0
dante_02_1275110041184620032,0,
dante_02_1277386203390710016,1,1.0
dante_02_1286287908035610112,0,
dante_02_1292810882221769984,0,
dante_02_1298622011808280064,0,
dante_02_1300946618674490112,1,1.0
dante_02_1301264596473440000,1,1.0
dante_02_1323011562026779904,1,1.0
dante_02_1238582582503239936,0,
dante_02_1255233228895670016,1,1.0
dante_02_1261040278208760064,0,
dante_02_1300923653815770112,1,1.0
dante_02_1318514720064849920,1,1.0
dante_02_1320100474327069952,1,1.0
dante_02_1320759378669110016,1,1.0
dante_02_1321267120009850112,1,1.0
dante_02_1322663607927290112,0,
dante_02_1322530887049900032,1,1.0
dante_02_1323088691103990016,1,1.0
dante_02_1326199213567460096,1,1.0
dante_02_1326133320686690048,1,1.0
dante_02_1326624257300950016,1,1.0
dante_02_1336375252406899968,1,1.0
dante_02_1338435694247680000,1,1.0
dante_02_1338963837639330048,1,1.0
dante_02_1338945461349189888,1,2.0
dante_02_1339248971697489920,1,1.0
dante_02_1339151150633910016,1,1.0
dante_02_1339407133666899968,1,1.0
dante_02_1340036597333560064,1,1.0
dante_02_1339884083346870016,1,1.0
dante_02_1340982674698080000,1,1.0
dante_02_1341863295284890112,1,1.0
dante_02_1343147207676080128,1,1.0
dante_02_1343962642881380096,1,1.0
dante_02_1343885724333040128,1,1.0
dante_02_1344332989422060032,1,1.0
dante_02_1344274501295589888,1,1.0
dante_02_1252024707009949952,1,1.0
dante_02_1294023953434980096,0,
dante_02_1325227275114180096,1,1.0
dante_02_1329879544208219904,1,1.0
dante_02_1331248174565080064,1,1.0
dante_02_1339702336319529984,1,1.0
dante_02_1339702246452430080,1,1.0
dante_02_1339571926109469952,1,1.0
dante_02_1313937092603450112,1,1.0
dante_02_1316137483374070016,1,1.0
dante_02_1316137481830619904,1,1.0
dante_02_1330633977011500032,1,1.0
dante_02_1283749965194500096,1,2.0
dante_02_1292209548594409984,0,
dante_02_1342808722846960128,0,
dante_02_1243541863023460096,0,
dante_02_1244670951905779968,0,
dante_02_1250486017863310080,1,1.0
dante_02_1319251805784699904,1,1.0
dante_02_1329159506262180096,1,1.0
dante_02_1336277868272339968,1,1.0
dante_02_1339952058422710016,1,1.0
dante_02_1343941188903160064,1,1.0
dante_02_1343910843864509952,1,1.0
dante_02_1248977293629949952,1,1.0
dante_02_1254424613888679936,1,1.0
dante_02_1317515544829050112,1,3.0
dante_02_1265019739962729984,0,
dante_02_1279113129096509952,1,1.0
dante_02_1312392687878899968,0,
dante_02_1318896141430360064,1,1.0
dante_02_1319622763045329920,1,1.0
dante_02_1320866221567439872,0,
dante_02_1320788196792410112,1,1.0
dante_02_1321951393024969984,0,
dante_02_1327620599947150080,0,
dante_02_1329076365941890048,1,1.0
dante_02_1331942588119709952,1,1.0
dante_02_1336708031770480128,1,1.0
dante_02_1339280299943990016,1,1.0
dante_02_1339209776857809920,1,1.0
dante_02_1239629569096900096,0,
dante_02_1242198357700989952,0,
dante_02_1247256153538660096,0,
dante_02_1247248331195190016,0,
dante_02_1253421120876730112,0,
dante_02_1253754580124470016,1,1.0
dante_02_1254116855645690112,1,1.0
dante_02_1260638969571800064,0,
dante_02_1262393523095180032,0,
dante_02_1278836898899849984,1,1.0
dante_02_1280148359236460032,0,
dante_02_1284130249706540032,0,
dante_02_1286260087703600128,1,2.0
dante_02_1292817170754400000,1,1.0
dante_02_1292817169475140096,1,1.0
dante_02_1293222591054990080,1,3.0
dante_02_1293648790554119936,1,1.0
dante_02_1295798542536140032,1,1.0
dante_02_1296098495020039936,1,1.0
dante_02_1296798188771379968,1,1.0
dante_02_1300903507567020032,1,1.0
dante_02_1300838155277530112,1,1.0
dante_02_1301154020929789952,1,1.0
dante_02_1303099936708460032,1,1.0
dante_02_1303360431831020032,1,1.0
dante_02_1303350969124760064,1,1.0
dante_02_1305970740215379968,1,1.0
dante_02_1305970365772950016,1,1.0
dante_02_1305836355755419904,1,1.0
dante_02_1311450514761149952,1,1.0
dante_02_1313148065818299904,1,1.0
dante_02_1313148064207689984,1,1.0
dante_02_1313148062655739904,1,1.0
dante_02_1313148060294360064,1,1.0
dante_02_1313865426556809984,1,1.0
dante_02_1313851998299699968,1,1.0
dante_02_1314605406312960000,1,1.0
dante_02_1315068799729779968,1,1.0
dante_02_1319045827038479872,1,1.0
dante_02_1319008651626129920,1,1.0
dante_02_1318946978613639936,1,1.0
dante_02_1318898165622419968,1,1.0
dante_02_1318893591444489984,1,1.0
dante_02_1319412356624069888,1,1.0
dante_02_1319388388450060032,1,1.0
dante_02_1320829794351719936,1,1.0
dante_02_1320771601353309952,1,1.0
dante_02_1321134646046949888,1,1.0
dante_02_1321070038598710016,1,1.0
dante_02_1322941937750589952,1,1.0
dante_02_1325774330840699904,1,1.0
dante_02_1326282983804979968,1,1.0
dante_02_1326238666881159936,1,1.0
dante_02_1326201700844250112,1,1.0
dante_02_1326164095679259904,1,1.0
dante_02_1326144757677120000,1,1.0
dante_02_1326550132775510016,1,1.0
dante_02_1327033912661600000,1,1.0
dante_02_1329405407807269888,1,1.0
dante_02_1331586364769499904,1,1.0
dante_02_1332304707025580032,1,1.0
dante_02_1333840460532610048,0,
dante_02_1334227167287399936,1,1.0
dante_02_1334114525830850048,1,1.0
dante_02_1334576523693710080,1,1.0
dante_02_1336395834448110080,1,1.0
dante_02_1336395832883549952,1,1.0
dante_02_1336344582154560000,1,1.0
dante_02_1336294522536529920,1,1.0
dante_02_1336756978274670080,1,1.0
dante_02_1336658883616649984,1,1.0
dante_02_1337503311033920000,1,1.0
dante_02_1337940002060320000,1,1.0
dante_02_1338152853626609920,1,1.0
dante_02_1338133125440859904,1,1.0
dante_02_1338097754334240000,1,1.0
dante_02_1338598726055709952,1,1.0
dante_02_1338483792751810048,1,1.0
dante_02_1338945663799869952,1,1.0
dante_02_1338936771917319936,1,1.0
dante_02_1338936396078320128,1,1.0
dante_02_1338912598079770112,1,1.0
dante_02_1338850892691490048,1,1.0
dante_02_1339380096671610112,1,1.0
dante_02_1339308786029380096,1,1.0
dante_02_1339239676792730112,1,1.0
dante_02_1339213118342299904,1,1.0
dante_02_1339211636318589952,1,1.0
dante_02_1339208731373009920,1,1.0
dante_02_1340066867537469952,1,1.0
dante_02_1340049563567200000,1,1.0
dante_02_1340014545545370112,1,1.0
dante_02_1339939257889280000,1,1.0
dante_02_1339926652978139904,1,1.0
dante_02_1340803138580859904,1,1.0
dante_02_1341141679236110080,1,1.0
dante_02_1341389561923059968,1,1.0
dante_02_1342203978998799872,1,1.0
dante_02_1342165120760339968,1,1.0
dante_02_1342945006479399936,1,1.0
dante_02_1342855874856049920,1,1.0
dante_02_1343191747665520128,1,1.0
dante_02_1343570274017560064,1,1.0
dante_02_1344097119205009920,1,1.0
dante_02_1343942304063749888,1,1.0
dante_02_1343942302901949952,1,1.0
dante_02_1344786305985750016,1,1.0
dante_02_1252659396502599936,1,1.0
dante_02_1253410616724730112,1,1.0
dante_02_1262411568156999936,1,1.0
dante_02_1276974668579290112,1,1.0
dante_02_1277246800064280064,1,1.0
dante_02_1285419116497600000,1,1.0
dante_02_1288431099723599872,1,1.0
dante_02_1288430097268110080,1,1.0
dante_02_1311456536095600128,1,1.0
dante_02_1317653644309890048,1,1.0
dante_02_1317998839769469952,1,1.0
dante_02_1317930109559589888,1,1.0
dante_02_1317860670961039872,1,3.0
dante_02_1317860669648169984,1,3.0
dante_02_1317860668222149888,1,3.0
dante_02_1317672830255889920,1,1.0
dante_02_1317672216109169920,1,3.0
dante_02_1318608637472930048,1,3.0
dante_02_1318606091505349888,1,1.0
dante_02_1320798339483440128,1,1.0
dante_02_1320793524976130048,1,1.0
dante_02_1321177222338779904,1,3.0
dante_02_1324185221110070016,1,3.0
dante_02_1326999433582609920,1,3.0
dante_02_1329029823566640128,1,3.0
dante_02_1336280717924450048,1,1.0
dante_02_1336280379800620032,1,1.0
dante_02_1338186791556440064,1,1.0
dante_02_1319392481688140032,1,1.0
dante_02_1319693604433039872,1,1.0
dante_02_1239642685050429952,1,1.0
dante_02_1312018256878759936,1,1.0
dante_02_1311867692958249984,1,1.0
dante_02_1323037002468630016,1,1.0
dante_02_1323247974185649920,1,1.0
dante_02_1326182420748620032,1,1.0
dante_02_1327403227084679936,1,1.0
dante_02_1336067316354830080,1,1.0
dante_02_1336789898284630016,1,1.0
dante_02_1339773841833410048,1,1.0
dante_02_1241083704933519872,0,
dante_02_1247624586709040128,0,
dante_02_1249787085323719936,0,
dante_02_1257469306868239872,1,1.0
dante_02_1273992566111960064,0,
dante_02_1275915252148960000,0,
dante_02_1284483575639930112,1,1.0
dante_02_1285959783397370112,1,1.0
dante_02_1290317419580440064,1,1.0
dante_02_1291067516010340096,1,1.0
dante_02_1292224959884979968,1,1.0
dante_02_1303730545868890112,1,1.0
dante_02_1307011299193359872,1,1.0
dante_02_1307395295114909952,1,1.0
dante_02_1307395293391000064,1,1.0
dante_02_1310559684043109888,1,1.0
dante_02_1310551766510060032,1,1.0
dante_02_1311852114944100096,1,1.0
dante_02_1311845742609339904,1,1.0
dante_02_1312846547592389888,0,
dante_02_1318288384067010048,1,1.0
dante_02_1318977867439569920,1,1.0
dante_02_1318901454577560064,1,1.0
dante_02_1320093550546190080,1,1.0
dante_02_1325889141289200128,1,1.0
dante_02_1325889138722269952,1,1.0
dante_02_1326293443572859904,1,1.0
dante_02_1326160437659000064,1,1.0
dante_02_1326538872247909888,1,1.0
dante_02_1326537079740780032,1,1.0
dante_02_1329602299719780096,1,1.0
dante_02_1331286503176209920,1,1.0
dante_02_1331276202028509952,1,1.0
dante_02_1336073242415680000,1,1.0
dante_02_1335886183109430016,1,1.0
dante_02_1336345031716770048,1,1.0
dante_02_1336324308214259968,1,1.0
dante_02_1336725720769449984,1,1.0
dante_02_1336690756694759936,1,1.0
dante_02_1336647406465789952,1,1.0
dante_02_1337090894655320064,1,1.0
dante_02_1337393685407869952,1,1.0
dante_02_1338068201331170048,1,1.0
dante_02_1338535128671409920,1,1.0
dante_02_1338523732919379968,1,1.0
dante_02_1338928762013019904,1,1.0
dante_02_1339284001534700032,1,1.0
dante_02_1339217624681629952,1,1.0
dante_02_1339203958640950016,1,1.0
dante_02_1339674912278119936,1,1.0
dante_02_1339888138240410112,1,1.0
dante_02_1340464566317270016,1,1.0
dante_02_1340334752713370112,1,1.0
dante_02_1340651114526619904,1,2.0
dante_02_1341152652407790080,1,1.0
dante_02_1341072867690240000,1,1.0
dante_02_1342139381151369984,1,1.0
dante_02_1343302937028800000,1,1.0
dante_02_1271148811184999936,1,1.0
dante_02_1227314467190550016,0,
dante_02_1228688318927439872,0,
dante_02_1240755003763059968,0,
dante_02_1240704340815470080,0,
dante_02_1242462570012950016,0,
dante_02_1242462567718619904,0,
dante_02_1242462560978330112,0,
dante_02_1243178875816940032,0,
dante_02_1243178871949789952,0,
dante_02_1245838800716250112,0,
dante_02_1247238407975280128,1,1.0
dante_02_1248366670151849984,1,1.0
dante_02_1250115616293479936,0,
dante_02_1258784422607840000,0,
dante_02_1258784421265700096,0,
dante_02_1262855449436730112,0,
dante_02_1264924833445519872,0,
dante_02_1264924831696509952,0,
dante_02_1264924828995389952,0,
dante_02_1269636404017070080,0,
dante_02_1269636400602840064,0,
dante_02_1270461692380659968,0,
dante_02_1270459603042660096,0,
dante_02_1270459601570469888,0,
dante_02_1270459598965819904,0,
dante_02_1285149084878360064,0,
dante_02_1318240238872019968,1,1.0
dante_02_1318646123779709952,1,1.0
dante_02_1318643326497809920,1,1.0
dante_02_1318643325046500096,0,
dante_02_1319002302947200000,1,1.0
dante_02_1324462102132800000,0,
dante_02_1324462100534749952,1,1.0
dante_02_1324462092716559872,1,1.0
dante_02_1324462089566599936,1,1.0
dante_02_1324462082478230016,1,1.0
dante_02_1324462074446149888,1,1.0
dante_02_1324427311328999936,1,1.0
dante_02_1314583072201999872,1,1.0
dante_02_1316038524710320128,1,1.0
dante_02_1316414445963310080,1,1.0
dante_02_1316824943812800000,1,1.0
dante_02_1317917679697710080,1,1.0
dante_02_1340300879723960064,1,1.0
dante_02_1226543110278320128,0,
dante_02_1240632019262060032,0,
dante_02_1241504129400399872,0,
dante_02_1242235413613270016,0,
dante_02_1242217325140499968,0,
dante_02_1242186740070309888,0,
dante_02_1242517585133959936,0,
dante_02_1242509772550739968,0,
dante_02_1242304890975780096,0,
dante_02_1245123921499820032,0,
dante_02_1246084525760880128,1,1.0
dante_02_1252765135464209920,1,1.0
dante_02_1255079408823640064,1,1.0
dante_02_1256029391790000128,1,1.0
