Tweet_ID,TRU,DIS,JOY,SAD,ANT,SUR,ANG,FEA,NEUTRAL,Conf_Tru_Dis,Conf_Joy_Sad,Conf_Ant_Sur,Conf_Ang_Fea,Num_Annot
dante_01_443516696876576770l,0,0,0,0,0,0,0,0,1,1.0,0.667,1.0,1.0,3
dante_01_468833224442273792l,-2,-2,0,0,-1,-1,0,0,-1,0.333,0.667,0.667,0.667,3
dante_01_444557092226342912l,0,0,0,0,0,0,0,0,1,1.0,1.0,1.0,1.0,3
dante_01_448543126202757120l,-2,-2,0,0,1,0,0,0,-1,0.0,1.0,0.667,0.667,3
dante_01_443178803557580800l,0,1,0,0,0,0,-2,-2,-1,1.0,0.667,0.667,0.0,3
dante_01_445604215084564480l,0,1,0,1,0,0,-2,-2,-1,0.667,0.667,0.667,0.0,3
dante_01_447493169601855488l,-2,-2,0,0,-2,-2,0,0,-1,0.333,0.667,0.333,0.667,3
dante_01_453994043845140481l,0,1,0,1,0,0,0,0,0,1.0,0.667,0.667,0.667,3
dante_01_446358680796413953l,-2,-2,-2,-2,0,0,-2,-2,-1,0.333,0.333,0.667,0.333,3
dante_01_453660270121193472l,0,0,0,0,0,1,0,0,0,0.667,1.0,0.667,1.0,3
dante_01_444478900065017856l,0,0,-1,-1,-2,-2,-2,-2,-1,0.667,0.667,0.333,0.333,3
dante_01_458591709140512769l,0,0,0,0,0,1,0,0,0,0.667,1.0,0.667,1.0,3
dante_01_456065660704260096l,-2,-2,0,1,0,1,1,0,-1,0.0,1.0,0.667,0.667,3
dante_01_472016992686583810l,0,1,0,1,0,0,0,1,0,0.667,0.667,0.667,0.667,3
dante_01_451440468887625728l,0,1,0,1,0,1,0,1,0,0.667,0.667,1.0,0.667,3
dante_01_447000185927766016l,0,0,0,0,0,0,0,0,1,0.5,0.75,1.0,0.75,4
dante_01_461192942708097025l,0,0,0,0,-1,-1,0,0,-1,0.667,0.667,0.667,0.667,3
dante_01_460127501138681856l,0,1,-2,-2,0,0,0,1,-1,0.667,0.333,0.667,0.667,3
dante_01_449597804189847552l,0,1,-2,-2,0,0,1,0,-1,0.667,0.0,0.667,0.667,3
dante_01_459320788777443329l,-1,-1,0,0,-2,-2,0,1,-1,0.667,0.667,0.333,0.667,3
dante_01_453838159911329792l,-1,-1,-1,-1,-2,-2,0,0,-1,0.667,0.667,0.333,0.667,3
dante_01_448447631103381504l,-2,-2,0,0,-2,-2,0,0,-1,0.333,0.667,0.333,0.667,3
dante_01_445900371408728064l,0,0,0,0,0,0,0,0,1,0.667,0.667,1.0,0.667,3
dante_01_442007598456668160l,0,0,-2,-2,0,0,0,0,-1,0.667,0.333,0.667,0.667,3
dante_01_459313608053100545l,1,0,-2,-2,-2,-2,0,0,-1,0.667,0.333,0.333,0.667,3
dante_01_443403473875644416l,-2,-2,0,0,1,0,0,0,-1,0.333,0.667,0.667,0.667,3
dante_01_451073516524552192l,0,1,0,1,0,0,0,0,0,0.667,0.667,0.667,0.667,3
dante_01_448099233779154945l,1,0,1,0,1,0,0,0,0,0.667,1.0,0.667,1.0,3
dante_01_446040497023635456l,-2,-2,-2,-2,0,0,0,0,-1,0.333,0.333,0.667,0.667,3
dante_01_451149200290746369l,0,1,0,1,0,0,-2,-2,-1,0.667,0.667,0.667,0.0,3
dante_01_445931894706679808l,0,0,0,0,-2,-2,0,0,-1,0.667,0.667,0.333,0.667,3
dante_01_445895082685001728l,0,0,0,0,0,0,0,0,1,1.0,1.0,1.0,1.0,3
dante_01_460818314638671872l,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.667,0.667,0.667,0.667,3
dante_01_447511780315521024l,-2,-2,0,0,-2,-2,0,1,-1,0.0,1.0,0.0,1.0,3
dante_01_461491747722256385l,1,0,1,0,0,0,0,0,0,1.0,0.667,0.667,1.0,3
dante_01_468759827041501184l,-2,-2,0,0,0,1,0,0,-1,0.333,0.667,0.667,0.667,3
dante_01_460888883191115776l,0,0,0,0,0,0,0,0,1,1.0,1.0,1.0,1.0,3
dante_01_457754481489641472l,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.667,0.667,0.667,0.667,3
dante_01_463669474844233728l,-2,-2,0,0,-2,-2,0,0,-1,0.333,0.667,0.333,0.667,3
dante_01_443019776181690368l,0,0,0,0,-2,-2,0,0,-1,0.667,0.667,0.333,0.667,3
dante_01_443438174216671233l,0,1,-2,-2,-2,-2,0,0,-1,0.75,0.0,0.0,0.75,4
dante_01_443081767936081920l,1,0,0,0,-2,-2,0,0,-1,0.667,0.667,0.0,1.0,3
dante_01_450725320769806336l,1,0,-2,-2,0,1,0,0,-1,0.667,0.0,0.667,0.667,3
dante_01_468931548646240256l,-2,-2,0,0,-2,-2,-2,-2,-1,0.333,0.667,0.333,0.333,3
dante_01_448924122459160577l,0,0,0,0,1,0,-2,-2,-1,0.667,0.667,0.667,0.0,3
dante_01_441666563578822656l,-2,-2,1,0,-2,-2,0,0,-1,0.333,0.667,0.333,0.667,3
dante_01_449271233826525184l,0,1,0,1,1,0,-2,-2,-1,0.667,0.667,0.667,0.333,3
dante_01_445912636501532672l,1,0,0,0,0,0,0,0,0,1.0,0.667,0.667,1.0,3
dante_01_470918436588363776l,0,0,0,0,0,0,0,0,1,0.667,0.667,0.667,0.667,3
dante_01_449208086621069312l,0,1,1,0,-2,-2,0,0,-1,1.0,0.667,0.333,0.667,3
dante_01_459843145094950912l,-2,-2,0,0,-2,-2,0,0,-1,0.0,0.667,0.0,1.0,3
dante_01_468149299365564416l,-2,-2,0,0,-2,-2,-2,-2,-1,0.333,0.667,0.333,0.333,3
dante_01_449628093775642624l,-2,-2,0,0,-2,-2,0,0,-1,0.333,0.667,0.333,0.667,3
dante_01_452075169079889920l,0,1,0,0,0,0,0,0,0,0.667,1.0,0.667,0.667,3
dante_01_448076052364296192l,0,0,0,0,-2,-2,0,0,-1,0.667,0.667,0.0,0.667,3
dante_01_464743842542260224l,0,1,0,1,0,1,1,0,0,1.0,0.667,1.0,1.0,3
dante_01_461116096653692928l,1,0,0,0,1,0,0,0,0,0.667,0.667,0.667,1.0,3
dante_01_463671786329374720l,-2,-2,1,0,0,1,0,0,-1,0.333,1.0,0.667,0.667,3
dante_01_456426558191075328l,0,1,0,1,-2,-2,-2,-2,-1,0.667,0.667,0.333,0.333,3
dante_01_448008499973591040l,0,1,0,0,-2,-2,-2,-2,-1,0.667,1.0,0.333,0.333,3
dante_01_443219869136617472l,0,1,0,0,0,0,0,0,0,0.667,0.667,1.0,0.667,3
dante_01_448084550477185024l,-2,-2,1,0,1,0,0,0,-1,0.333,0.667,0.667,0.667,3
dante_01_459034935748485120l,-2,-2,0,0,0,0,0,0,-1,0.333,0.667,0.667,0.667,3
dante_01_442124576127193088l,-2,-2,0,0,0,0,0,0,-1,0.0,0.667,0.667,1.0,3
dante_01_454252123388391424l,-2,-2,0,0,-2,-2,0,0,-1,0.333,0.667,0.333,0.667,3
dante_01_443391114599739392l,-2,-2,0,0,0,0,0,0,-1,0.333,0.667,0.667,0.667,3
dante_01_446390972621279232l,-2,-2,1,0,1,0,0,0,-1,0.0,0.667,0.667,0.667,3
dante_01_453603209777778689l,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,1.0,1.0,1.0,3
dante_01_446990945779986432l,0,0,1,0,0,0,0,0,0,0.667,0.667,0.667,0.667,3
dante_01_441216148625833984l,1,0,0,0,-2,-2,0,0,-1,0.667,0.667,0.0,1.0,3
dante_01_451341221877653504l,-2,-2,0,0,-2,-2,0,0,-1,0.333,0.667,0.333,0.667,3
dante_01_449398387620982784l,-2,-2,-2,-2,-2,-2,0,0,-1,0.333,0.333,0.333,0.667,3
dante_01_450964832922398720l,0,0,0,0,0,0,0,0,1,0.667,1.0,1.0,0.667,3
dante_01_451724418772131840l,0,0,0,0,0,0,0,0,1,0.667,0.667,1.0,1.0,3
dante_01_451043452910718978l,0,0,0,0,1,0,0,0,0,0.667,0.667,0.667,0.667,3
dante_01_468935926518132737l,-2,-2,-2,-2,-2,-2,0,0,-1,0.0,0.0,0.0,0.667,3
dante_01_443353179582111744l,0,1,0,1,0,1,1,0,0,0.667,0.667,0.667,0.667,3
dante_01_441216020401762305l,1,0,0,0,-2,-2,0,0,-1,0.667,0.667,0.0,1.0,3
dante_01_447053182150393856l,0,0,0,0,0,0,0,0,1,0.667,0.667,1.0,1.0,3
dante_01_450827181191884800l,0,1,0,1,0,0,-2,-2,-1,1.0,0.667,0.667,0.0,3
dante_01_446369558149222400l,-2,-2,0,0,-2,-2,-2,-2,-1,0.333,0.667,0.333,0.333,3
dante_01_451824667498938368l,1,0,-2,-2,-2,-2,0,0,-1,0.667,0.333,0.333,0.667,3
dante_01_450801060664590336l,0,1,0,1,-2,-2,1,0,-1,1.0,1.0,0.0,1.0,3
dante_01_449555470739832832l,-2,-2,0,0,0,0,0,0,-1,0.333,0.667,0.667,0.667,3
dante_01_459033882185445376l,-2,-2,0,0,-2,-2,0,1,-1,0.0,0.667,0.0,0.667,3
dante_01_442007959133229056l,0,0,0,0,1,0,0,0,0,0.667,1.0,0.667,0.667,3
dante_01_452581362021593088l,0,0,0,0,0,0,0,0,1,0.667,0.667,1.0,1.0,3
dante_01_453613523906863105l,1,0,0,0,-2,-2,0,0,-1,0.667,0.667,0.0,1.0,3
dante_01_466925490637651968l,0,0,0,0,0,0,0,0,1,0.667,0.667,0.667,0.667,3
dante_01_453562030759616512l,0,1,0,0,0,0,-2,-2,-1,1.0,0.75,0.5,0.0,4
dante_01_449189411172155393l,-2,-2,-2,-2,0,0,0,0,-1,0.333,0.333,0.667,0.667,3
dante_01_445561461805686784l,0,0,-1,-1,-1,-1,0,0,-1,0.667,0.667,0.667,0.667,3
dante_01_469210740575203329l,1,0,1,0,0,1,0,0,0,0.667,0.667,0.667,0.667,3
dante_01_441991777944604672l,0,0,0,0,-2,-2,0,0,-1,1.0,0.667,0.333,0.667,3
dante_01_459703601485873152l,0,1,-2,-2,0,1,-2,-2,-1,0.667,0.0,1.0,0.0,3
dante_01_461217162594902017l,0,1,-2,-2,-2,-2,-2,-2,-1,0.667,0.333,0.0,0.333,3
dante_01_462288940155019264l,-2,-2,1,0,-2,-2,0,0,-1,0.0,1.0,0.333,0.667,3
dante_01_458688687774396416l,0,0,0,0,0,0,0,0,1,0.667,0.667,1.0,1.0,3
dante_01_448901694802632705l,1,0,1,0,1,0,1,0,0,0.667,1.0,0.667,0.667,3
dante_01_445564878510915584l,0,0,0,0,0,0,0,0,1,0.5,0.75,0.5,0.75,4
dante_01_461511886916558848l,0,0,0,0,1,0,0,1,0,0.667,0.667,0.667,0.667,3
dante_01_444570321211764736l,-2,-2,-2,-2,-2,-2,0,1,-1,0.333,0.333,0.333,0.667,3
dante_01_459421284469080064l,0,0,0,0,0,0,0,0,1,1.0,1.0,1.0,1.0,3
dante_01_443022600336580608l,0,1,0,1,0,0,1,0,0,1.0,0.667,0.667,1.0,3
dante_01_470905734449074176l,-2,-2,-2,-2,0,0,0,0,-1,0.333,0.333,0.667,0.667,3
dante_01_446696446884990976l,0,0,0,0,0,0,0,0,1,0.667,1.0,1.0,1.0,3
dante_01_443109051715817472l,0,0,0,0,0,0,0,0,1,1.0,1.0,0.667,1.0,3
dante_01_453912668697821184l,-2,-2,0,0,-1,-1,-2,-2,-1,0.333,0.667,0.667,0.333,3
dante_01_441968116361609217l,0,0,0,0,-2,-2,0,0,-1,0.667,0.667,0.333,0.667,3
dante_01_461521399568691200l,-2,-2,0,0,-2,-2,-2,-2,-1,0.333,0.667,0.333,0.333,3
dante_01_459325878758281216l,1,0,1,0,0,1,0,0,0,0.75,1.0,0.5,1.0,4
dante_01_442034320602312704l,1,0,0,0,-2,-2,0,0,-1,0.667,0.667,0.0,0.667,3
dante_01_449304311387136001l,0,0,0,0,0,0,0,0,1,0.667,0.667,1.0,1.0,3
dante_01_449277975079710720l,1,0,1,0,0,1,0,0,0,1.0,0.667,0.667,0.667,3
dante_01_449233083116834818l,0,0,0,0,0,0,0,0,1,0.667,1.0,1.0,1.0,3
dante_01_443393619546763264l,0,0,0,0,0,0,0,0,1,0.667,0.667,0.667,0.667,3
dante_01_459041599486697472l,1,0,1,0,0,1,0,0,0,1.0,1.0,0.667,1.0,3
dante_01_451516853433937920l,1,0,1,0,0,0,0,0,0,1.0,1.0,0.667,1.0,3
dante_01_459330478110412800l,-2,-2,-2,-2,-2,-2,0,0,-1,0.333,0.333,0.333,0.667,3
dante_01_441932039294836736l,0,0,0,0,0,0,0,0,1,1.0,1.0,1.0,1.0,3
dante_01_453521418748440576l,0,1,0,0,-2,-2,0,1,-1,0.667,1.0,0.333,1.0,3
dante_01_459350853477212162l,1,0,0,0,1,0,0,0,0,0.667,0.667,0.667,1.0,3
dante_01_448501958140493824l,0,0,0,0,0,0,0,0,1,1.0,0.667,0.667,0.667,3
dante_01_441562070497390592l,-2,-2,-2,-2,-2,-2,-2,-2,-1,0.333,0.333,0.333,0.333,3
dante_01_444563909958434816l,1,0,0,0,-2,-2,0,1,-1,0.667,1.0,0.0,0.667,3
dante_01_443031972336525312l,1,0,0,0,-2,-2,0,0,-1,0.667,1.0,0.0,1.0,3
dante_01_455863900513525760l,-2,-2,-2,-2,0,0,1,0,-1,0.0,0.0,0.667,0.667,3
dante_01_456136883056422912l,0,1,-2,-2,1,0,-2,-2,-1,0.667,0.333,0.667,0.333,3
dante_01_446341722008997888l,0,0,0,0,0,0,0,0,1,0.667,0.667,0.667,1.0,3
dante_01_441347872915607552l,0,1,0,0,0,0,-2,-2,-1,0.667,0.667,0.667,0.333,3
dante_01_469952216032620544l,0,0,0,0,0,0,0,0,1,0.667,0.667,1.0,0.667,3
dante_01_456489735901691904l,-2,-2,0,0,-2,-2,0,0,-1,0.333,0.667,0.333,0.667,3
dante_01_461203818915434496l,0,0,0,0,-2,-2,0,0,-1,0.667,0.667,0.333,0.667,3
dante_01_464862078525001728l,0,0,0,0,0,0,0,0,1,0.667,0.667,0.667,1.0,3
dante_01_449142959225585664l,0,0,0,1,0,0,0,0,0,1.0,0.667,1.0,1.0,3
dante_01_448191373104381952l,1,0,0,0,0,0,0,0,0,0.667,1.0,0.667,1.0,3
dante_01_444092271831842816l,0,0,0,0,0,0,0,0,1,0.667,0.667,0.667,0.667,3
dante_01_449866873417789440l,1,0,1,0,0,0,0,0,0,0.667,1.0,0.667,0.667,3
dante_01_450749596046618624l,1,0,1,0,-2,-2,0,0,-1,0.667,0.667,0.0,0.667,3
dante_01_459413138790952960l,-2,-2,-2,-2,-2,-2,-2,-2,-1,0.333,0.333,0.333,0.333,3
dante_01_441245930285563904l,0,0,0,0,0,1,0,0,0,0.667,0.667,0.667,0.667,3
dante_01_456007617479864320l,0,0,0,0,-1,-1,-1,-1,-1,0.667,0.667,0.667,0.667,3
dante_01_446284610629287936l,0,0,0,0,-2,-2,0,0,-1,0.667,0.667,0.333,0.667,3
dante_01_449564010414088193l,-2,-2,0,0,0,0,0,0,-1,0.333,0.667,0.667,1.0,3
dante_01_457996497792274432l,-2,-2,0,0,1,0,-2,-2,-1,0.333,0.667,0.667,0.333,3
dante_01_454626054859411456l,1,0,0,0,0,0,0,0,0,0.667,1.0,0.667,0.667,3
dante_01_443439285707223040l,0,0,0,0,0,0,0,0,1,1.0,1.0,1.0,1.0,3
dante_01_471785265049382912l,-2,-2,-2,-2,1,0,0,0,-1,0.0,0.0,0.667,0.667,3
dante_01_469700784792539136l,-2,-2,-2,-2,0,0,0,0,-1,0.0,0.333,0.667,0.667,3
dante_01_458336411163578369l,0,0,0,0,0,0,0,0,1,1.0,1.0,1.0,1.0,3
dante_01_443019802525708288l,0,0,0,0,0,0,0,0,1,1.0,1.0,0.5,0.75,4
dante_01_445578794670510080l,0,0,1,0,-2,-2,0,0,-1,0.667,0.667,0.0,0.667,3
dante_01_453525676910706688l,1,0,-2,-2,-2,-2,0,0,-1,0.667,0.333,0.333,0.667,3
dante_01_446729335089926144l,-2,-2,-2,-2,0,0,0,0,-1,0.0,0.0,1.0,0.667,3
dante_01_449263514176466944l,0,0,0,0,0,0,0,0,1,0.667,0.667,1.0,1.0,3
dante_01_449543815712759809l,0,0,0,0,0,0,0,0,1,1.0,1.0,1.0,1.0,3
dante_01_458608079375192064l,0,0,1,0,0,1,0,0,0,0.667,0.667,0.667,1.0,3
dante_01_443008572704976896l,-2,-2,-2,-2,0,1,-2,-2,-1,0.333,0.333,0.667,0.0,3
dante_01_453260430027526144l,-2,-2,-2,-2,-2,-2,0,0,-1,0.333,0.333,0.333,0.667,3
dante_01_453208679303897089l,-2,-2,0,0,-2,-2,0,0,-1,0.333,0.667,0.333,0.667,3
dante_01_444119089167212544l,0,1,-2,-2,0,0,0,1,-1,0.667,0.333,0.667,0.667,3
dante_01_453255148840960000l,1,0,0,0,0,0,0,0,0,0.667,1.0,0.667,1.0,3
dante_01_459743194427953152l,0,1,-2,-2,-2,-2,-2,-2,-1,0.667,0.333,0.333,0.333,3
dante_01_450620193690374144l,-2,-2,0,1,0,0,0,0,-1,0.0,0.667,1.0,0.667,3
dante_01_443011825182212096l,-2,-2,-2,-2,1,0,0,0,-1,0.0,0.0,0.667,0.667,3
